date,hour,patients_arrived,flu_cases,covid_cases,staff_on_duty
2025-09-01,0,10,2,1,10
2025-09-01,1,13,1,0,9
2025-09-01,2,12,0,3,8
2025-09-01,3,10,0,0,6
2025-09-01,4,13,1,1,10
2025-09-01,5,9,5,0,7
2025-09-01,6,11,1,3,3
2025-09-01,7,15,1,0,7
2025-09-01,8,12,0,0,9
2025-09-01,9,14,2,0,10
2025-09-01,10,18,0,3,5
2025-09-01,11,8,4,0,6
2025-09-01,12,8,1,3,3
2025-09-01,13,13,3,3,3
2025-09-01,14,6,5,1,9
2025-09-01,15,9,2,0,7
2025-09-01,16,3,4,3,3
2025-09-01,17,4,0,1,10
2025-09-01,18,8,4,3,7
2025-09-01,19,4,3,3,8
2025-09-01,20,4,5,1,9
2025-09-01,21,5,4,1,9
2025-09-01,22,7,3,0,10
2025-09-01,23,6,3,1,8
2025-09-02,0,5,2,1,4
2025-09-02,1,11,3,2,9
2025-09-02,2,13,3,2,8
2025-09-02,3,15,2,2,10
2025-09-02,4,13,1,0,8
2025-09-02,5,18,1,2,3
2025-09-02,6,21,2,1,7
2025-09-02,7,15,4,0,7
2025-09-02,8,21,2,0,4
2025-09-02,9,12,4,1,7
2025-09-02,10,15,5,3,5
2025-09-02,11,9,1,1,4
2025-09-02,12,6,3,1,7
2025-09-02,13,13,4,1,10
2025-09-02,14,3,5,3,5
2025-09-02,15,4,0,1,9
2025-09-02,16,4,2,1,5
2025-09-02,17,2,2,2,5
2025-09-02,18,3,1,1,6
2025-09-02,19,3,3,3,5
2025-09-02,20,11,2,2,7
2025-09-02,21,5,0,3,7
2025-09-02,22,11,4,1,8
2025-09-02,23,11,1,1,8
2025-09-03,0,15,4,1,8
2025-09-03,1,12,3,3,7
2025-09-03,2,17,0,3,7
2025-09-03,3,11,1,0,9
2025-09-03,4,13,5,0,9
2025-09-03,5,12,4,2,4
2025-09-03,6,15,4,1,9
2025-09-03,7,16,1,2,10
2025-09-03,8,13,4,3,5
2025-09-03,9,15,1,3,8
2025-09-03,10,11,1,0,9
2025-09-03,11,15,0,3,5
2025-09-03,12,8,1,3,4
2025-09-03,13,8,5,2,6
2025-09-03,14,10,1,1,4
2025-09-03,15,7,4,0,9
2025-09-03,16,6,1,1,8
2025-09-03,17,6,1,3,7
2025-09-03,18,2,1,2,6
2025-09-03,19,5,3,3,4
2025-09-03,20,10,4,3,7
2025-09-03,21,8,2,1,10
2025-09-03,22,9,1,1,9
2025-09-03,23,12,2,3,8
2025-09-04,0,9,3,1,3
2025-09-04,1,9,1,1,4
2025-09-04,2,11,5,3,3
2025-09-04,3,9,1,2,6
2025-09-04,4,15,4,1,10
2025-09-04,5,18,0,1,8
2025-09-04,6,11,1,1,6
2025-09-04,7,10,1,2,8
2025-09-04,8,11,3,3,5
2025-09-04,9,13,3,2,8
2025-09-04,10,11,2,0,8
2025-09-04,11,15,2,1,7
2025-09-04,12,8,3,0,9
2025-09-04,13,9,5,3,10
2025-09-04,14,8,5,2,4
2025-09-04,15,4,1,2,9
2025-09-04,16,5,2,2,7
2025-09-04,17,5,5,1,4
2025-09-04,18,5,5,0,9
2025-09-04,19,9,1,1,5
2025-09-04,20,12,1,3,8
2025-09-04,21,4,1,2,4
2025-09-04,22,9,4,1,9
2025-09-04,23,8,2,1,3
2025-09-05,0,8,3,0,6
2025-09-05,1,14,2,0,3
2025-09-05,2,9,3,0,8
2025-09-05,3,16,5,0,9
2025-09-05,4,12,1,0,5
2025-09-05,5,13,4,3,9
2025-09-05,6,18,0,1,9
2025-09-05,7,15,3,1,10
2025-09-05,8,17,1,2,10
2025-09-05,9,13,4,1,6
2025-09-05,10,15,3,2,7
2025-09-05,11,12,2,0,3
2025-09-05,12,11,4,3,10
2025-09-05,13,9,3,1,6
2025-09-05,14,11,5,3,6
2025-09-05,15,6,1,3,4
2025-09-05,16,10,4,1,9
2025-09-05,17,6,2,2,9
2025-09-05,18,4,0,1,3
2025-09-05,19,4,5,3,4
2025-09-05,20,7,0,3,7
2025-09-05,21,5,4,3,3
2025-09-05,22,13,3,0,5
2025-09-05,23,9,0,3,6
2025-09-06,0,13,4,3,10
2025-09-06,1,12,3,3,7
2025-09-06,2,14,2,0,4
2025-09-06,3,13,2,2,10
2025-09-06,4,22,5,1,6
2025-09-06,5,12,5,0,4
2025-09-06,6,14,5,2,5
2025-09-06,7,9,4,2,3
2025-09-06,8,20,4,3,10
2025-09-06,9,12,5,1,5
2025-09-06,10,15,4,2,7
2025-09-06,11,12,1,0,8
2025-09-06,12,14,3,1,6
2025-09-06,13,7,5,3,10
2025-09-06,14,9,2,3,8
2025-09-06,15,12,0,0,3
2025-09-06,16,5,0,3,9
2025-09-06,17,5,3,2,3
2025-09-06,18,5,5,3,8
2025-09-06,19,6,3,1,4
2025-09-06,20,5,3,2,7
2025-09-06,21,3,5,2,4
2025-09-06,22,8,0,1,3
2025-09-06,23,11,5,0,6
2025-09-07,0,13,1,1,5
2025-09-07,1,12,0,0,9
2025-09-07,2,15,0,2,3
2025-09-07,3,12,2,2,6
2025-09-07,4,15,2,2,7
2025-09-07,5,20,4,3,3
2025-09-07,6,20,1,1,3
2025-09-07,7,15,3,1,7
2025-09-07,8,10,5,2,10
2025-09-07,9,12,2,0,7
2025-09-07,10,12,2,2,6
2025-09-07,11,13,0,0,4
2025-09-07,12,8,2,2,10
2025-09-07,13,5,2,0,9
2025-09-07,14,13,2,0,3
2025-09-07,15,2,3,0,5
2025-09-07,16,5,5,2,7
2025-09-07,17,7,1,3,10
2025-09-07,18,7,4,0,3
2025-09-07,19,8,1,1,4
2025-09-07,20,4,3,1,4
2025-09-07,21,6,1,0,10
2025-09-07,22,9,0,1,7
2025-09-07,23,7,5,1,3
2025-09-08,0,16,1,2,5
2025-09-08,1,11,2,2,8
2025-09-08,2,11,3,2,3
2025-09-08,3,16,5,0,5
2025-09-08,4,17,3,0,5
2025-09-08,5,14,2,1,5
2025-09-08,6,17,5,3,10
2025-09-08,7,15,4,2,8
2025-09-08,8,12,1,0,4
2025-09-08,9,13,2,2,4
2025-09-08,10,10,0,0,7
2025-09-08,11,8,2,2,5
2025-09-08,12,12,2,0,7
2025-09-08,13,9,4,3,9
2025-09-08,14,12,0,0,7
2025-09-08,15,12,5,3,8
2025-09-08,16,4,3,0,7
2025-09-08,17,3,1,1,8
2025-09-08,18,5,5,2,6
2025-09-08,19,3,0,0,3
2025-09-08,20,8,2,0,10
2025-09-08,21,3,3,0,3
2025-09-08,22,13,3,1,10
2025-09-08,23,8,4,3,9
2025-09-09,0,11,2,3,8
2025-09-09,1,13,0,1,5
2025-09-09,2,12,5,2,7
2025-09-09,3,18,1,2,4
2025-09-09,4,13,0,2,8
2025-09-09,5,17,0,0,7
2025-09-09,6,19,4,0,7
2025-09-09,7,17,2,2,3
2025-09-09,8,12,3,3,5
2025-09-09,9,10,3,2,6
2025-09-09,10,16,2,2,3
2025-09-09,11,10,2,3,10
2025-09-09,12,7,1,0,7
2025-09-09,13,10,5,3,3
2025-09-09,14,10,2,3,9
2025-09-09,15,10,2,3,9
2025-09-09,16,6,4,3,4
2025-09-09,17,3,2,2,9
2025-09-09,18,7,0,2,9
